C01 TITLE: 30-minute meteorological data 
C02 FILE NAME: cmn644n00.isac.xx.xx.met.nl.ev2011.dat 
C03 DATA FORMAT: Version 1.1
C04 TOTAL LINES: 17552
C05 HEADER LINES: 32
C06 DATA VERSION: 201312
C07 STATION NAME: Monte Cimone
C08 STATION CATEGORY: Global
C09
C10 COUNTRY/TERRITORY: Italy
C11 CONTRIBUTOR: ISAC
C12 LATITUDE: 44.18
C13 LONGITUDE: 10.7
C14 ALTITUDE: 2165
C15
C16
C17
C18 PARAMETER: WD WS RH AP AT
C19 COVERING PERIOD: 2011-01-01 2011-12-31
C20 TIME INTERVAL: 30 minutes
C21 MEASUREMENT UNIT: deg m/s % hPa Celsius 
C22
C23
C24 TIME ZONE: Local time UTC+1
C25
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:  
C31
DATE  TIME    WD    WS    RH     AP    AT
2011-01-02 07:45 -99.9 -99.9  37.8  783.0  -2.6 
2011-01-02 08:15 -99.9 -99.9  37.1  783.1  -3.2 
2011-01-02 08:45 -99.9 -99.9  46.8  783.3  -3.3 
2011-01-02 09:15 -99.9 -99.9  53.0  783.5  -3.3 
2011-01-02 09:45 -99.9 -99.9  82.6  783.7  -4.1 
2011-01-02 10:15 -99.9 -99.9  97.4  783.9  -4.9 
2011-01-02 10:45 -99.9 -99.9  98.3  784.1  -4.7 
2011-01-02 11:15 -99.9 -99.9  96.2  784.0  -4.4 
2011-01-02 11:45 -99.9 -99.9  97.7  783.9  -4.2 
2011-01-02 12:15 -99.9 -99.9  99.0  783.8  -4.5 
2011-01-02 12:45 -99.9 -99.9  99.0  783.5  -4.5 
2011-01-02 13:15 -99.9 -99.9  99.0  783.3  -4.5 
2011-01-02 13:45 -99.9 -99.9  99.0  783.2  -4.4 
2011-01-02 14:15 -99.9 -99.9  99.0  783.2  -4.8 
2011-01-02 14:45 -99.9 -99.9  99.0  783.3  -4.9 
2011-01-02 15:15 -99.9 -99.9  97.7  783.3  -4.9 
2011-01-02 15:45 -99.9 -99.9  83.0  783.2  -3.9 
2011-01-02 16:15 -99.9 -99.9  72.4  783.1  -2.9 
2011-01-02 16:45 -99.9 -99.9  63.3  783.0  -2.9 
2011-01-02 17:15 -99.9 -99.9  59.3  783.0  -3.3 
2011-01-02 17:45 -99.9 -99.9  91.3  783.3  -5.0 
2011-01-02 18:15 -99.9 -99.9  85.9  783.7  -5.8 
2011-01-02 18:45 -99.9 -99.9  79.5  784.0  -5.4 
2011-01-02 19:15 -99.9 -99.9  64.6  784.1  -4.8 
2011-01-02 19:45 -99.9 -99.9  80.9  784.0  -5.1 
2011-01-02 20:15 -99.9 -99.9  95.7  784.1  -6.7 
2011-01-02 20:45 -99.9 -99.9  97.1  784.2  -7.3 
2011-01-02 21:15 -99.9 -99.9  95.7  784.3  -7.9 
