C01 TITLE: 30-minute meteorological data 
C02 FILE NAME: cmn644n00.isac.xx.xx.met.nl.ev2013.dat 
C03 DATA FORMAT: Version 1.1
C04 TOTAL LINES: 17552
C05 HEADER LINES: 32
C06 DATA VERSION: 201501
C07 STATION NAME: Monte Cimone
C08 STATION CATEGORY: Global
C09
C10 COUNTRY/TERRITORY: Italy
C11 CONTRIBUTOR: ISAC
C12 LATITUDE: 44.18
C13 LONGITUDE: 10.70
C14 ALTITUDE: 2165
C15
C16
C17
C18 PARAMETER: WD WS RH AP AT UVB RAD
2013-01-04 18:45 198.0   2.0  56.1  798.8   2.8    -0.011    -0.069  
2013-01-04 19:15 194.0   1.9  57.9  798.9   2.5    -0.013     0.010  
2013-01-04 19:45 193.0   1.6  58.6  798.8   2.3    -0.013    -0.113  
2013-01-04 20:15 196.0   1.6  59.5  798.9   2.2    -0.013    -0.073  
2013-01-04 20:45 189.0   1.4  57.3  798.8   2.5    -0.013    -0.115  
2013-01-04 21:15  19.0   2.1  57.2  798.7   2.6    -0.013    -0.064  
2013-01-04 21:45 349.0   3.2  59.0  798.6   2.5    -0.013    -0.047  
2013-01-04 22:15 348.0   2.7  59.0  798.5   2.2    -0.013    -0.084  
2013-01-04 22:45 338.0   2.2  56.1  798.3   2.5    -0.013    -0.058  
2013-01-04 23:15 334.0   1.8  58.1  798.2   2.6    -0.013    -0.032  
2013-01-04 23:45 336.0   2.6  57.2  797.9   2.6    -0.020    -0.075  
2013-01-05 00:15 342.0   3.5  56.0  797.6   2.5     0.014     0.008  
2013-01-05 00:45 296.0   5.7  51.1  797.1   3.2     0.015    -0.005  
2013-01-05 01:15 286.0   6.7  47.4  796.7   3.9     0.015    -0.077  
2013-01-05 01:45 299.0   6.9  45.7  796.3   4.1     0.015     0.109  
2013-01-05 02:15 292.0   7.5  46.3  796.2   4.2     0.011     0.123  
2013-01-05 02:45 293.0   7.6  48.4  795.9   3.7     0.006     0.161  
2013-01-05 03:15 328.0  11.7  57.7  795.6   2.6     0.005    -0.014  
2013-01-05 03:45 323.0  12.5  59.0  795.6   2.1     0.005     0.013  
2013-01-05 04:15 335.0  15.2  61.6  794.9   2.0     0.004     0.037  
2013-01-05 04:45 339.0  13.5  60.6  794.4   2.1    -0.005     0.029  
2013-01-05 05:15 342.0  11.3  59.4  794.2   2.2    -0.005    -0.010  
2013-01-05 05:45 339.0  13.2  57.9  794.1   2.4    -0.005     0.002  
2013-01-05 06:15 339.0  13.8  57.6  793.9   2.5    -0.005     0.024  
2013-01-05 06:45 338.0  13.1  57.1  794.0   2.5    -0.005     0.030  
2013-01-05 07:15 340.0   9.7  58.1  794.1   2.3    -0.009    -0.002  
2013-01-05 07:45 340.0   5.3  57.4  794.1   2.3    -0.005     0.165  
2013-01-05 08:15 334.0   4.2  55.2  794.3   2.5     0.011    22.850  
2013-01-05 08:45 339.0   3.9  54.9  794.4   2.8     0.046    97.481  
2013-01-05 09:15 201.0   2.3  54.2  794.4   3.2     0.099   132.632  
2013-01-05 09:45 193.0   2.3  53.7  794.4   3.6     0.172   218.714  
2013-01-05 10:15 188.0   2.4  52.9  794.4   4.3     0.254   293.953  
2013-01-05 10:45 189.0   2.3  52.7  794.3   4.6     0.330   350.035  
2013-01-05 11:15  34.0   9.0  54.5  793.9   4.4     0.391   385.813  
2013-01-05 11:45  31.0  12.5  54.8  793.6   4.4     0.427   400.410  
2013-01-05 12:15  28.0  12.9  54.9  793.3   4.4     0.444   410.666  
2013-01-05 12:45  25.0  11.6  54.0  793.1   4.6     0.440   412.874  
2013-01-05 13:15  21.0  10.0  54.0  793.2   4.8     0.411   395.547  
2013-01-05 13:45  25.0   9.1  53.5  792.9   4.9     0.361   365.088  
2013-01-05 14:15  24.0  11.9  53.9  792.7   4.8     0.294   321.255  
2013-01-05 14:45  27.0   9.5  54.1  792.7   4.7     0.212   271.156  
2013-01-05 15:15 187.0   1.7  53.1  793.0   4.9     0.140   214.883  
2013-01-05 15:45 189.0   1.5  50.7  793.3   5.4     0.074   150.004  
2013-01-05 16:15 191.0   1.5  50.4  793.3   5.5     0.023    63.506  
2013-01-05 16:45 187.0   2.1  51.0  793.2   5.1    -0.005     8.509  
2013-01-05 17:15 188.0   2.2  53.2  793.4   4.4    -0.015     0.261  
2013-01-05 17:45 189.0   2.1  55.4  793.5   3.8    -0.015     0.088  
2013-01-05 18:15 183.0   1.7  57.2  793.6   3.4    -0.015     0.024  
2013-01-05 18:45  44.0   4.5  57.2  793.5   3.3    -0.015     0.046  
2013-01-05 19:15  48.0   4.4  58.6  793.5   3.2    -0.015     0.071  
2013-01-05 19:45  47.0   4.6  59.0  793.6   3.1    -0.015     0.018  
2013-01-05 20:15  38.0   8.9  60.2  793.7   2.9    -0.015     0.025  
2013-01-05 20:45  50.0   4.3  62.0  794.1   2.9    -0.015    -0.007  
2013-01-05 21:15  46.0   3.7  62.1  794.2   2.8    -0.015     0.064  
2013-01-05 21:45  44.0   4.7  62.4  794.2   2.6    -0.015    -0.021  
2013-01-05 22:15  46.0   5.5  64.0  793.9   2.5    -0.015    -0.012  
2013-01-05 22:45  53.0   4.8  63.1  793.8   2.2    -0.015     0.024  
2013-01-05 23:15  60.0   4.2  62.4  793.9   2.1    -0.015    -0.004  
2013-01-05 23:45  55.0   4.1  62.8  794.2   2.0    -0.015    -0.008  
2013-01-06 00:15  47.0   4.7  61.2  794.3   1.9     0.000    -2.142  
2013-01-06 00:45  52.0   4.7  59.3  794.0   1.8     0.006    -2.160  
2013-01-06 01:15  62.0   4.4  58.8  794.0   1.7     0.007    -2.091  
2013-01-06 01:45  50.0   4.8  59.1  794.1   1.6     0.007    -2.179  
2013-01-06 02:15 176.0   2.3  59.8  794.2   1.5     0.007    -2.150  
2013-01-06 02:45 173.0   2.4  59.6  794.3   1.4     0.007    -2.121  
2013-01-06 03:15 189.0   2.2  59.7  794.2   1.3     0.007    -2.120  
2013-01-06 03:45 190.0   2.4  59.0  794.4   1.4     0.007    -2.151  
2013-01-06 04:15 189.0   2.4  59.0  794.3   1.4     0.007    -2.123  
2013-01-06 04:45 185.0   1.9  61.3  794.4   1.4     0.007    -2.093  
2013-01-06 05:15 344.0   4.6  62.8  794.2   2.2     0.007    -2.133  
2013-01-06 05:45 342.0   4.5  61.1  794.1   2.7     0.007    -2.134  
2013-01-06 06:15 342.0   5.0  61.0  794.2   2.7    -0.001    -2.131  
2013-01-06 06:45 334.0   4.0  61.7  794.4   2.7    -0.003    -2.079  
2013-01-06 07:15 201.0   2.5  62.3  794.5   2.6    -0.003    -2.112  
2013-01-06 07:45 192.0   2.8  63.1  794.6   2.8     0.001     0.330  
2013-01-06 08:15 193.0   2.4  62.9  794.9   3.0     0.016    29.858  
2013-01-06 08:45 329.0   4.4  63.4  795.0   3.0     0.044    42.955  
2013-01-06 09:15 337.0   4.5  65.3  795.3   2.5     0.092    78.180  
2013-01-06 09:45 334.0   4.0  62.5  795.3   3.0     0.165   172.687  
2013-01-06 10:15 197.0   2.3  57.2  795.5   4.2     0.241   249.629  
2013-01-06 10:45 181.0   2.3  57.0  795.6   4.0     0.229   187.039  
2013-01-06 11:15 188.0   2.4  53.4  795.5   3.9     0.231   159.869  
2013-01-06 11:45 192.0   2.7  53.0  795.2   4.0     0.277   183.013  
2013-01-06 12:15 196.0   2.3  52.0  795.0   4.1     0.338   220.753  
2013-01-06 12:45 340.0   5.1  50.2  794.5   4.5     0.378   258.722  
2013-01-06 13:15 339.0   9.3  48.1  794.2   5.0     0.396   306.196  
2013-01-06 13:45 338.0   8.7  44.9  793.8   5.3     0.342   270.898  
2013-01-06 14:15 333.0  10.7  43.9  793.6   5.2     0.265   212.744  
2013-01-06 14:45 331.0  11.9  43.6  793.3   5.1     0.190   157.179  
2013-01-06 15:15 332.0  14.0  48.2  793.1   4.4     0.121   102.475  
2013-01-06 15:45 331.0  16.4  47.8  792.7   4.4     0.062    55.698  
2013-01-06 16:15 314.0  18.2  48.2  792.8   4.1     0.026    24.195  
2013-01-06 16:45 310.0  19.1  45.4  792.6   4.4     0.007    -0.482  
2013-01-06 17:15 322.0  18.0  49.3  792.5   4.1     0.001    -0.811  
2013-01-06 17:45 327.0  19.2  52.1  792.1   4.0     0.000    -1.033  
2013-01-06 18:15 336.0  17.2  56.5  791.9   3.3    -0.002     1.151  
2013-01-06 18:45 337.0  16.7  55.9  791.7   3.1    -0.003     0.161  
2013-01-06 19:15 337.0  18.2  55.4  791.5   3.2    -0.003    -0.772  
2013-01-06 19:45 340.0  17.5  59.2  791.3   2.7    -0.003     0.845  
2013-01-06 20:15 340.0  17.3  55.4  791.2   2.9    -0.003     1.008  
2013-01-06 20:45 334.0  20.9  54.9  790.9   3.0    -0.003     1.333  
2013-01-06 21:15 329.0  21.9  52.3  790.3   3.0     0.003     1.406  
2013-01-06 21:45 337.0  18.3  47.9  790.3   3.4     0.006     1.720  
2013-01-06 22:15 345.0  11.8  52.3  790.0   3.0    -0.002     1.527  
2013-01-06 22:45 332.0   8.2  49.6  790.7   2.4     0.000     1.775  
2013-01-06 23:15 186.0   3.7  47.2  790.9   2.4    -0.003     2.014  
2013-01-06 23:45 195.0   4.3  52.6  791.2   1.5    -0.003     2.273  
2013-01-07 00:15 186.0   3.2  57.6  791.6   0.7     0.000     1.916  
2013-01-07 00:45  42.0   7.2  52.9  791.3   0.5     0.000     1.997  
2013-01-07 01:15  45.0   8.2  51.9  790.8   0.3     0.005     1.794  
2013-01-07 01:45  50.0   8.0  50.4  791.0   0.2     0.010     1.599  
2013-01-07 02:15  50.0   8.8  50.7  790.5   0.2     0.010     1.699  
2013-01-07 02:45  40.0  15.3  52.0  790.4   0.1     0.009     1.565  
2013-01-07 03:15  42.0  11.4  51.8  790.5  -0.1     0.007     1.242  
2013-01-07 03:45  56.0   6.0  50.5  791.1   0.1     0.001     1.230  
2013-01-07 04:15  43.0   7.2  48.8  791.4   0.2     0.000     0.662  
2013-01-07 04:45  51.0   5.0  43.9  791.8   0.6     0.001    -0.026  
2013-01-07 05:15  52.0   4.4  44.4  791.9   0.7     0.000    -0.263  
2013-01-07 05:45  43.0  10.7  49.2  791.1   0.7     0.000    -0.652  
2013-01-07 06:15  42.0  17.0  52.3  791.2   0.5     0.004    -1.616  
2013-01-07 06:45  45.0  11.8  52.3  792.1   0.5     0.008    -1.799  
2013-01-07 07:15  37.0   8.3  52.4  792.7   0.6     0.010    -1.826  
2013-01-07 07:45 193.0   1.8  44.7  792.8   0.9     0.009     0.222  
2013-01-07 08:15 192.0   2.2  41.1  792.7   1.5     0.017    18.224  
2013-01-07 08:45 189.0   2.1  39.3  792.9   1.7     0.053    46.377  
2013-01-07 09:15 188.0   1.9  40.5  793.1   1.8     0.116   151.223  
2013-01-07 09:45 191.0   1.7  41.1  793.4   2.2     0.170   173.894  
2013-01-07 10:15 195.0   1.7  40.8  793.5   2.4     0.245   230.478  
2013-01-07 10:45 196.0   1.7  38.1  793.7   3.5     0.351   368.883  
2013-01-07 11:15 184.0   1.4  36.8  793.6   4.1     0.400   367.808  
2013-01-07 11:45 340.0   2.7  39.1  793.5   4.3     0.461   424.920  
2013-01-07 12:15 334.0   2.6  39.1  793.4   4.8     0.486   435.278  
2013-01-07 12:45 339.0   5.2  35.0  793.0   4.8     0.472   421.356  
