C01 TITLE: 30-minute meteorological data 
C02 FILE NAME: cmn644n00.isac.xx.xx.met.nl.ev2013.dat 
C03 DATA FORMAT: Version 1.1
C04 TOTAL LINES: 17552
C05 HEADER LINES: 32
C06 DATA VERSION: 201501
C07 STATION NAME: Monte Cimone
C08 STATION CATEGORY: Global
C09
C10 COUNTRY/TERRITORY: Italy
C11 CONTRIBUTOR: ISAC
C12 LATITUDE: 44.18
C13 LONGITUDE: 10.70
C14 ALTITUDE: 2165
C15
C16
C17
C18 PARAMETER: WD WS RH AP AT UVB RAD
C19 COVERING PERIOD: 2013-01-01 2013-12-31
C20 TIME INTERVAL: 30 minutes
C21 MEASUREMENT UNIT: deg m/s % hPa Celsius W/m2 W/m2
C22
C23
C24 TIME ZONE: Local time UTC+1
C25
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:  
C31
DATE  TIME    WD    WS    RH     AP    AT       UVB       RAD
2013-01-01 00:15 217.0   4.4  22.6  790.5  -0.4    -0.037    -1.220  
2013-01-01 00:45 224.0   5.2  22.3  790.1  -0.3    -0.037    -1.196  
2013-01-01 01:15 228.0   4.9  25.1  789.8  -0.6    -0.030    -1.185  
2013-01-01 01:45 214.0   6.4  25.8  789.7  -0.5    -0.028    -1.198  
2013-01-01 02:15 206.0   6.2  25.9  789.5  -0.5    -0.030    -1.174  
2013-01-01 02:45 209.0   6.9  28.1  789.4  -0.8    -0.027    -1.186  
2013-01-01 03:15 217.0   6.8  32.8  789.2  -1.4    -0.027    -1.193  
2013-01-01 03:45 226.0   6.3  36.1  789.0  -1.9    -0.027    -1.177  
2013-01-01 04:15 227.0   7.1  38.1  788.6  -2.1    -0.015    -1.206  
2013-01-01 04:45 229.0   6.7  39.6  788.4  -2.4     0.001    -0.822  
2013-01-01 05:15 231.0   6.8  41.4  788.3  -2.7     0.008    -0.552  
2013-01-01 05:45 238.0   3.3  42.7  788.3  -2.8     0.013    -0.445  
2013-01-01 06:15 238.0   3.7  43.3  788.2  -2.9     0.013    -0.365  
2013-01-01 06:45 236.0   3.2  44.7  788.2  -3.1     0.031     9.732  
2013-01-01 07:15 234.0   3.6  45.0  788.2  -3.2     0.035     9.704  
2013-01-01 07:45 238.0   3.9  48.1  788.2  -3.5     0.041    16.542  
2013-01-01 08:15 243.0   3.0  52.4  788.3  -3.8     0.057    52.928  
2013-01-01 08:45 231.0   6.2  63.9  788.3  -4.7     0.084   122.158  
2013-01-01 09:15 229.0   8.7  81.7  788.5  -5.6     0.134   185.810  
2013-01-01 09:45 235.0   7.0  97.8  788.6  -5.2     0.175   205.034  
2013-01-01 10:15 236.0   8.4  99.0  788.7  -4.5     0.242   307.410  
2013-01-01 10:45 230.0  11.4  99.0  788.6  -4.2     0.307   320.194  
2013-01-01 11:15 225.0  14.0  99.0  788.5  -4.2     0.373   382.546  
2013-01-01 11:45 227.0   9.6  99.0  788.4  -4.2     0.372   325.398  
2013-01-01 12:15 230.0  15.4  99.0  788.2  -4.0     0.385   320.614  
2013-01-01 12:45 -99.9 -99.9  99.0  788.0  -4.1     0.254    95.289  
2013-01-01 13:15 -99.9 -99.9  99.0  787.8  -4.2     0.230    99.599  
2013-01-01 13:45 -99.9 -99.9  99.0  787.6  -4.2     0.203    71.375  
2013-01-01 14:15 -99.9 -99.9  99.0  787.5  -4.1     0.165    67.929  
2013-01-01 14:45 -99.9 -99.9  99.0  787.5  -4.1     0.142   110.843  
2013-01-01 15:15 -99.9 -99.9  99.0  787.5  -4.0     0.111   114.028  
2013-01-01 15:45 -99.9 -99.9  99.0  787.5  -4.1     0.067    38.858  
2013-01-01 16:15 -99.9 -99.9  99.0  787.5  -4.2     0.043    22.519  
2013-01-01 16:45 -99.9 -99.9  99.0  787.5  -4.2     0.029     2.502  
2013-01-01 17:15 -99.9 -99.9  99.0  787.5  -4.2     0.032     0.402  
2013-01-01 17:45 -99.9 -99.9  99.0  787.4  -3.9     0.033     0.454  
2013-01-01 18:15 -99.9 -99.9  99.0  787.3  -3.5     0.033     0.449  
2013-01-01 18:45 -99.9 -99.9  99.0  787.4  -3.1     0.033     0.355  
2013-01-01 19:15 -99.9 -99.9  99.0  787.4  -3.2     0.033     0.375  
2013-01-01 19:45 -99.9 -99.9  99.0  787.5  -3.4     0.033     0.377  
2013-01-01 20:15 -99.9 -99.9  99.0  787.4  -3.4     0.033     0.422  
2013-01-01 20:45 -99.9 -99.9  99.0  787.5  -3.2     0.033     0.495  
2013-01-01 21:15 -99.9 -99.9  99.0  787.6  -3.1     0.033     0.560  
2013-01-01 21:45 -99.9 -99.9  99.0  787.4  -2.7     0.033     0.511  
2013-01-01 22:15 -99.9 -99.9  99.0  787.2  -2.7     0.033     0.196  
2013-01-01 22:45 -99.9 -99.9  99.0  787.2  -2.7     0.039     0.277  
2013-01-01 23:15 -99.9 -99.9  99.0  787.1  -3.0     0.036     0.511  
2013-01-01 23:45 -99.9 -99.9  99.0  787.0  -3.2     0.038     1.932  
2013-01-02 00:15 -99.9 -99.9  99.0  787.0  -3.4     0.005    -5.913  
2013-01-02 00:45 -99.9 -99.9  99.0  787.1  -3.5    -0.002    -5.175  
2013-01-02 01:15 -99.9 -99.9  99.0  786.8  -3.5    -0.002    -3.051  
2013-01-02 01:45 -99.9 -99.9  99.0  786.7  -3.4    -0.002     1.300  
2013-01-02 02:15 -99.9 -99.9  99.0  786.9  -3.2    -0.002     2.832  
2013-01-02 02:45 -99.9 -99.9  99.0  786.9  -3.0    -0.001     3.170  
2013-01-02 03:15 -99.9 -99.9  99.0  786.8  -2.8    -0.002     2.754  
2013-01-02 03:45 -99.9 -99.9  99.0  786.6  -2.8    -0.002     3.198  
2013-01-02 04:15 -99.9 -99.9  99.0  786.3  -2.9    -0.002     2.600  
2013-01-02 04:45 -99.9 -99.9  99.0  786.3  -2.9    -0.002     3.471  
2013-01-02 05:15 -99.9 -99.9  99.0  786.1  -2.8    -0.002     1.740  
2013-01-02 05:45 -99.9 -99.9  99.0  785.8  -2.8    -0.002    -0.068  
2013-01-02 06:15 -99.9 -99.9  99.0  785.9  -2.8    -0.002    -0.323  
2013-01-02 06:45 -99.9 -99.9  99.0  786.0  -2.9    -0.002     0.260  
2013-01-02 07:15 -99.9 -99.9  99.0  786.0  -2.7    -0.002     0.634  
2013-01-02 07:45 -99.9 -99.9  99.0  786.2  -2.8    -0.002     1.937  
2013-01-02 08:15 -99.9 -99.9  99.0  786.2  -2.8     0.002     4.402  
2013-01-02 08:45 -99.9 -99.9  99.0  786.3  -2.9     0.017    19.517  
2013-01-02 09:15 193.0  15.0  99.0  786.4  -2.9     0.036    34.444  
2013-01-02 09:45 195.0  15.3  99.0  786.5  -3.0     0.069    55.737  
2013-01-02 10:15 195.0  15.3  99.0  786.9  -3.1     0.095    76.048  
2013-01-02 10:45 194.0  14.0  99.0  787.3  -3.1     0.120    89.680  
2013-01-02 11:15 -99.9 -99.9  99.0  787.6  -3.0     0.145   109.569  
2013-01-02 11:45 193.0  13.5  99.0  787.8  -3.0     0.159   114.791  
2013-01-02 12:15 193.0  13.9  99.0  787.9  -2.9     0.179   128.403  
2013-01-02 12:45 190.0  10.6  99.0  788.1  -2.8     0.171   119.849  
2013-01-02 13:15 192.0  10.4  99.0  788.3  -2.8     0.152   105.321  
2013-01-02 13:45 192.0  10.8  99.0  788.7  -3.0     0.117    82.438  
2013-01-02 14:15 -99.9 -99.9  99.0  789.0  -3.0     0.097    72.824  
2013-01-02 14:45 -99.9 -99.9  99.0  789.3  -3.0     0.071    56.054  
2013-01-02 15:15 -99.9 -99.9  99.0  789.5  -2.8     0.045    41.711  
2013-01-02 15:45 -99.9 -99.9  99.0  789.7  -2.5     0.021    22.626  
2013-01-02 16:15 -99.9 -99.9  99.0  789.9  -2.6     0.007    12.649  
2013-01-02 16:45 -99.9 -99.9  99.0  790.2  -2.8    -0.001     5.698  
2013-01-02 17:15 -99.9 -99.9  99.0  790.4  -2.8    -0.002     2.104  
2013-01-02 17:45 -99.9 -99.9  99.0  790.8  -2.9    -0.002     5.881  
2013-01-02 18:15 -99.9 -99.9  99.0  791.3  -2.9    -0.002     2.048  
2013-01-02 18:45 -99.9 -99.9  99.0  791.8  -2.9    -0.002     2.319  
2013-01-02 19:15 -99.9 -99.9  99.0  792.5  -2.9     0.000     5.167  
2013-01-02 19:45 -99.9 -99.9  99.0  792.8  -2.9     0.004     4.868  
2013-01-02 20:15 -99.9 -99.9  99.0  792.9  -2.9     0.002     3.556  
2013-01-02 20:45 -99.9 -99.9  99.0  793.1  -2.9    -0.002     2.043  
2013-01-02 21:15 -99.9 -99.9  99.0  793.6  -2.9    -0.002     4.049  
2013-01-02 21:45 -99.9 -99.9  99.0  794.1  -2.8    -0.002     5.323  
2013-01-02 22:15 -99.9 -99.9  99.0  794.7  -2.7    -0.002     5.813  
2013-01-02 22:45 -99.9 -99.9  99.0  795.0  -2.6    -0.002     5.551  
2013-01-02 23:15 -99.9 -99.9  99.0  795.4  -2.6    -0.002     5.345  
2013-01-02 23:45 -99.9 -99.9  99.0  795.8  -2.4    -0.002     5.770  
2013-01-03 00:15 -99.9 -99.9  99.0  796.1  -2.3     0.030     6.310  
2013-01-03 00:45 -99.9 -99.9  99.0  796.4  -2.2     0.030     5.970  
2013-01-03 01:15 -99.9 -99.9  99.0  796.7  -2.1     0.030     6.253  
2013-01-03 01:45 -99.9 -99.9  99.0  797.2  -2.0     0.030     6.424  
2013-01-03 02:15 -99.9 -99.9  99.0  797.5  -1.9     0.030     6.582  
2013-01-03 02:45 -99.9 -99.9  99.0  797.7  -1.8     0.030     6.787  
2013-01-03 03:15 -99.9 -99.9  99.0  797.8  -1.7     0.030     7.059  
2013-01-03 03:45 -99.9 -99.9  99.0  797.8  -1.8     0.030     6.848  
2013-01-03 04:15 -99.9 -99.9  99.0  798.0  -1.8     0.030     6.883  
2013-01-03 04:45 -99.9 -99.9  99.0  798.3  -1.7     0.030     7.134  
2013-01-03 05:15 -99.9 -99.9  99.0  798.5  -1.5     0.030     7.129  
2013-01-03 05:45 -99.9 -99.9  99.0  798.7  -1.4     0.030     7.376  
2013-01-03 06:15 -99.9 -99.9  99.0  799.1  -1.3     0.030     7.500  
2013-01-03 06:45 -99.9 -99.9  99.0  799.5  -1.3     0.026     7.585  
2013-01-03 07:15 -99.9 -99.9  99.0  799.9  -1.1     0.028     7.738  
2013-01-03 07:45 -99.9 -99.9  99.0  800.1  -1.1     0.029     9.203  
2013-01-03 08:15 -99.9 -99.9  99.0  800.4  -1.1     0.038    29.660  
2013-01-03 08:45 -99.9 -99.9  99.0  800.5  -1.0     0.064    68.361  
2013-01-03 09:15 -99.9 -99.9  99.0  800.7  -0.8     0.108   191.026  
2013-01-03 09:45 -99.9 -99.9  99.0  801.0  -0.6     0.166   318.033  
2013-01-03 10:15 -99.9 -99.9  99.0  801.2  -0.4     0.236   299.458  
2013-01-03 10:45 -99.9 -99.9  99.0  801.3  -0.2     0.314   325.107  
2013-01-03 11:15 -99.9 -99.9  99.0  801.1   0.1     0.438   364.396  
2013-01-03 11:45 -99.9 -99.9  99.0  801.1   0.3     0.497   410.452  
2013-01-03 12:15 -99.9 -99.9  99.0  801.0   0.2     0.519   425.195  
2013-01-03 12:45 -99.9 -99.9  99.0  800.8   0.2     0.474   354.221  
2013-01-03 13:15 -99.9 -99.9  98.8  800.7   0.3     0.467   379.638  
2013-01-03 13:45 -99.9 -99.9  93.8  800.5   0.2     0.413   360.599  
2013-01-03 14:15 -99.9 -99.9  89.2  800.4   0.0     0.322   313.422  
2013-01-03 14:45 -99.9 -99.9  87.3  800.6   0.0     0.234   257.569  
2013-01-03 15:15 -99.9 -99.9  84.2  800.7  -0.2     0.146   192.217  
2013-01-03 15:45 -99.9 -99.9  84.7  800.9  -0.6     0.067   120.095  
2013-01-03 16:15 -99.9 -99.9  77.2  800.9  -0.8     0.015    44.365  
2013-01-03 16:45 -99.9 -99.9  78.0  801.3  -1.3    -0.010     1.172  
2013-01-03 17:15 -99.9 -99.9  72.2  801.4  -1.7    -0.001    -5.141  
2013-01-03 17:45 -99.9 -99.9  56.3  801.8  -1.6     0.007    -5.318  
2013-01-03 18:15 -99.9 -99.9  47.0  801.9  -1.2     0.010    -5.405  
2013-01-03 18:45 -99.9 -99.9  46.2  802.0  -0.7     0.012    -5.450  
2013-01-03 19:15 -99.9 -99.9  42.0  802.0  -0.1     0.014    -5.605  
2013-01-03 19:45 -99.9 -99.9  47.0  801.9   0.2     0.010    -5.761  
2013-01-03 20:15 -99.9 -99.9  50.0  801.9   0.4     0.010    -5.716  
2013-01-03 20:45 -99.9 -99.9  57.4  801.7   0.7     0.000    -5.840  
2013-01-03 21:15 -99.9 -99.9  64.2  801.7   1.1    -0.016    -5.937  
2013-01-03 21:45 -99.9 -99.9  60.3  801.9   1.3    -0.024    -6.051  
2013-01-03 22:15 -99.9 -99.9  43.6  802.1   0.7    -0.030    -6.059  
2013-01-03 22:45 -99.9 -99.9  57.4  802.2   0.7    -0.030    -6.092  
2013-01-03 23:15 -99.9 -99.9  56.8  802.2   1.0    -0.030    -6.116  
2013-01-03 23:45 -99.9 -99.9  62.5  802.2   1.0    -0.030    -6.161  
2013-01-04 00:15 -99.9 -99.9  67.0  802.2   1.1     0.017     0.066  
2013-01-04 00:45 -99.9 -99.9  68.4  802.1   1.4     0.017     0.044  
2013-01-04 01:15 -99.9 -99.9  69.2  802.0   1.5     0.017     0.073  
2013-01-04 01:45 -99.9 -99.9  69.9  801.9   1.5     0.017    -0.028  
2013-01-04 02:15 -99.9 -99.9  71.8  801.8   1.4     0.017     0.005  
2013-01-04 02:45 -99.9 -99.9  72.9  801.7   1.2     0.017    -0.013  
2013-01-04 03:15 -99.9 -99.9  70.7  801.5   1.2     0.017    -0.035  
2013-01-04 03:45 -99.9 -99.9  63.5  801.1   2.2     0.017     0.000  
2013-01-04 04:15 -99.9 -99.9  61.1  800.9   2.8     0.015    -0.093  
2013-01-04 04:45 -99.9 -99.9  57.4  800.4   3.4     0.017    -0.078  
2013-01-04 05:15 -99.9 -99.9  57.9  800.2   3.4     0.017    -0.044  
2013-01-04 05:45 -99.9 -99.9  57.6  800.1   3.4     0.010     0.003  
2013-01-04 06:15 -99.9 -99.9  59.1  799.9   3.0     0.007    -0.068  
2013-01-04 06:45 -99.9 -99.9  61.7  800.1   3.0     0.007    -0.025  
2013-01-04 07:15 -99.9 -99.9  64.3  800.2   2.6     0.007    -0.050  
2013-01-04 07:45 -99.9 -99.9  65.6  800.5   2.5     0.007     0.047  
2013-01-04 08:15 -99.9 -99.9  64.8  800.8   2.4     0.016     3.121  
2013-01-04 08:45 -99.9 -99.9  63.2  800.9   2.6     0.056    93.660  
2013-01-04 09:15 -99.9 -99.9  61.9  800.7   2.9     0.118   172.221  
2013-01-04 09:45 218.0   4.3  61.1  800.6   3.2     0.186   237.973  
2013-01-04 10:15 226.0   4.6  60.3  800.5   3.4     0.262   297.548  
2013-01-04 10:45 252.0   3.8  59.7  800.8   3.6     0.347   356.272  
2013-01-04 11:15 251.0   3.9  59.1  800.5   3.9     0.402   374.173  
2013-01-04 11:45 250.0   4.3  59.8  800.3   3.9     0.436   387.073  
2013-01-04 12:15 284.0   3.3  57.6  800.3   4.2     0.460   404.245  
2013-01-04 12:45 325.0   5.7  55.4  800.1   4.2     0.460   441.684  
2013-01-04 13:15 333.0   7.5  58.9  799.8   3.7     0.309   246.044  
2013-01-04 13:45 336.0   8.6  60.6  799.6   2.8     0.220   157.607  
2013-01-04 14:15 341.0   6.3  61.0  799.6   2.4     0.166    87.186  
2013-01-04 14:45 335.0   7.5  59.2  799.5   2.6     0.153    67.455  
2013-01-04 15:15 339.0   5.9  56.2  799.6   3.0     0.134   168.128  
2013-01-04 15:45 338.0   6.0  54.4  799.4   3.5     0.068    81.173  
2013-01-04 16:15 342.0   4.2  56.2  799.5   3.2     0.026    33.335  
2013-01-04 16:45 342.0   3.3  56.9  799.4   3.0     0.000     3.193  
2013-01-04 17:15 183.0   2.0  56.3  799.2   2.9    -0.004     0.034  
2013-01-04 17:45 341.0   3.9  56.7  799.0   2.8    -0.005    -0.111  
2013-01-04 18:15 339.0   4.2  56.0  798.8   2.8    -0.010    -0.128  
