season,hour,mean,count,std,sem,ci95
Autumn,0,4.870641811026816,24649,4.663232997945226,0.029702121006020547,0.058217946284373386
Spring,0,1.8995323457019457,21533,4.6008824733181815,0.0313537051140038,0.06145558736611811
Summer,0,11.537165480493348,26837,3.824556880030982,0.023346089235079213,0.045759557939286925
Winter,0,-1.867932057558226,20223,3.9617713223524897,0.02785906990246126,0.05460604203053448
